session_id,label,ts,source,scenario_id,attack_subtype,label_method,environment,packet_rate,unique_dst_ports,dst_port_entropy,mean_inter_arrival,std_inter_arrival,unique_src_ips,src_ip_entropy
ddos_multi_04__benign_udpspoof_0,0,1789389395.4907842,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8348,0.3142,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389395.6307843,real,ddos_multi_04,,generator_ground_truth,docker_multihost,12,1,-0.0,0.874,0.3242,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389395.7707844,real,ddos_multi_04,,generator_ground_truth,docker_multihost,12,1,-0.0,0.874,0.3242,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389395.9107845,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8135,0.2747,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389396.0507846,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8135,0.2747,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389396.1907847,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8135,0.2747,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389396.3307848,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8135,0.2747,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389396.470785,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8135,0.2747,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389396.610785,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8135,0.2747,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389396.750785,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8135,0.2747,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389396.8907852,real,ddos_multi_04,,generator_ground_truth,docker_multihost,12,1,-0.0,0.8625,0.3043,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389397.0307853,real,ddos_multi_04,,generator_ground_truth,docker_multihost,12,1,-0.0,0.8625,0.3043,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389397.1707854,real,ddos_multi_04,,generator_ground_truth,docker_multihost,12,1,-0.0,0.8625,0.3043,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389397.3107855,real,ddos_multi_04,,generator_ground_truth,docker_multihost,12,1,-0.0,0.8625,0.3043,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389397.4507856,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8644,0.3191,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389397.5907857,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8644,0.3191,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389397.7307858,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8644,0.3191,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389397.870786,real,ddos_multi_04,,generator_ground_truth,docker_multihost,12,1,-0.0,0.8778,0.3072,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389398.010786,real,ddos_multi_04,,generator_ground_truth,docker_multihost,12,1,-0.0,0.8778,0.3072,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389398.1507862,real,ddos_multi_04,,generator_ground_truth,docker_multihost,12,1,-0.0,0.8778,0.3072,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389398.2907863,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.9022,0.3118,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389398.4307864,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.9022,0.3118,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389398.5707865,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.9022,0.3118,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389398.7107866,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.9022,0.3118,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389398.8507867,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8544,0.2683,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389398.9907868,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8544,0.2683,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389399.130787,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8544,0.2683,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389399.270787,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8544,0.2683,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389399.410787,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8544,0.2683,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389399.5507872,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8544,0.2683,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389399.6907873,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8544,0.2683,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389399.8307874,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8544,0.2683,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389399.9707875,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8544,0.2683,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389400.1107876,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8544,0.2683,1,-0.0
